ID,ascending10otherwise,age,gender,Date,Condition,DS,AC,ACIR,ACSR,IR.1,IR.2,IR.3,IR.4,IR.5,IR.6,IR.7,IR.8,IR.9,IR.10,SR.1,SR.2,SR.3,SR.4,SR.5,SR.6,SR.7,SR.8,SR.9,SR.10,BeforeDV,AfterDV,DataCollection,ConditionFactor,Exc,difference,filter_$
LS229,1,19,1 Female,4/17/2017,Using,1,Lemonade,5,5,chaos and the calm,a head full of dreams,delirium,i cry when i laugh,lemonade,this is acting,a moon shaped pool,purpose,in the lonely hour,made in the am,a head full of dreams,chaos and the calm,delirium,i cry when i laugh,lemonade,this is acting,a moon shaped pool,in the lonely hour,purpose,made in the am,-1,-1,2,1,0,0,0
LS23,1,18,1 Female,11/29/2016,Using,1,The very best of prince,5,5,Beauty behind the madness,Lemonade,A head full of dreams,Chaos and the calm,The very best of prince,This is acting,Views,Purpose,Blurry face,I like it when you sleep for you are so,Beauty behind the madness,Lemonade,Chaos and the calm,A head full of dreams,The very best of prince,This is acting,Views,Purpose,Blurry face,I like it when you sleep for you are so,-1,-1,1,1,0,0,1
LS230,1,19,1 Female,4/17/2017,Using,1,Lemonade,5,3,the very best of prince,nothing has changed,best of bowie,chaos and the calm,lemonade,blackstar,a moon shaped pool,25,a head full of dreams,this is acting,the very best of prince,nothing has changed,lemonade,chaos and the calm,best of bowie,blackstar,a head full of dreams,25,a moon shaped pool,this is acting,-1,-3,2,1,0,-2,0
LS231,1,18,1 Female,4/17/2017,Examining,1,Lemonade,5,2,a head full of dreams,blurry face,anti,this is acting,lemonade,views,chaos and the calm,x,nine track mind,i like it when you sleep for you are so,a head full of dreams,lemonade,blurry face,anti,this is acting,views,chaos and the calm,x,nine track mind,i like it when you sleep for you are so,-1,-4,2,0,0,-3,0
LS232,1,19,2 Male,4/17/2017,Examining,1,Delirium,5,6,x,anti,beauty behind the madness,this is acting,delirium,nine track mind,purpose,i cry when i laugh,legend,in the lonely hour,x,anti,this is acting,beauty behind the madness,purpose,delirium,nine track mind,i cry when i laugh,legend,in the lonely hour,-1,-1,2,0,0,0,0
LS233,1,18,1 Female,4/17/2017,Examining,1,Lemonade,5,3,a head full of dreams,views,i like it when you sleep for you are so,anti,lemonade,chaos and the calm,delirium,nine track mind,purpose,25,a head full of dreams,i like it when you sleep for you are so,lemonade,views,chaos and the calm,anti,delirium,nine track mind,purpose,25,-1,-2,2,0,0,-1,0
LS234,1,19,1 Female,4/17/2017,Examining,1,Made in the am,5,3,1989,lemonade,in the lonely hour,delirium,made in the am,get weird,this is acting,a moon shaped pool,blurry face,the very best of prince,1989,in the lonely hour,made in the am,lemonade,delirium,get weird,this is acting,a moon shaped pool,blurry face,the very best of prince,-1,-3,2,0,0,-2,0
LS235,1,18,2 Male,4/17/2017,Examining,1,Beauty behind the madness,5,3,blackstar,lemonade,legend,25,beauty behind the madness,anti,x,if i can dream,delirium,1989,lemonade,blackstar,beauty behind the madness,legend,anti,delirium,if i can dream,x,25,1989,-1,-2,2,0,0,-1,0
LS236,0,20,2 Male,4/18/2017,Examining,1,Nine track mind,5,4,a head full of dreams,blurry face,beauty behind the madness,in the lonely hour,nine track mind,purpose,25,delirium,nothing has changed,the very best of prince,a head full of dreams,blurry face,beauty behind the madness,nine track mind,in the lonely hour,purpose,25,delirium,nothing has changed,the very best of prince,-1,-2,2,0,0,-1,0
LS237,1,19,[Decline to Answer],4/18/2017,Examining,1,Blackstar,6,5,lemonade,blurry face,communion,delirium,1989,blackstar,a head full of dreams,if i can dream,50,a moon shaped pool,if i can dream,blurry face,delirium,lemonade,blackstar,1989,communion,a head full of dreams,50,a moon shaped pool,1,-1,2,0,0,-2,0
LS238,1, , ,4/18/2017,Examining,1,Best of bowie,5,4,legend,a moon shaped pool,i like it when you sleep for you are so,the very best of prince,best of bowie,nothing has changed,a head full of dreams,blackstar,50,beauty behind the madness,a moon shaped pool,a head full of dreams,i like it when you sleep for you are so,best of bowie,legend,the very best of prince,nothing has changed,blackstar,50,beauty behind the madness,-1,-3,2,0,0,-2,0
LS239,1,18,2 Male,4/18/2017,Examining,1,Legend,5,4,a moon shaped pool,blurry face,the very best of prince,1989,legend,if i can dream,a head full of dreams,25,nothing has changed,50,a moon shaped pool,blurry face,the very best of prince,legend,1989,a head full of dreams,if i can dream,25,nothing has changed,50,-1,-3,2,0,0,-2,0
LS24,0,18,1 Female,11/29/2016,Using,1,Views,5,5,Beauty behind the madness,I like it when you sleep for you are so,A moon shaped pool,A head full of dreams,Views,50,Legend,Anti,Communion,All over the world,Beauty behind the madness,I like it when you sleep for you are so,A moon shaped pool,A head full of dreams,Views,Legend,50,Anti,Communion,All over the world,-1,-2,1,1,0,-1,1
LS240,1,19,2 Male,4/18/2017,Examining,1,Nothing has changed,5,2,views,best of bowie,a head full of dreams,blackstar,nothing has changed,x,if i can dream,the very best of prince,beauty behind the madness,lemonade,views,nothing has changed,x,blackstar,best of bowie,a head full of dreams,beauty behind the madness,if i can dream,the very best of prince,lemonade,-1,-1,2,0,0,0,0
LS241,0,19,2 Male,4/18/2017,Using,1,Lemonade,6,5,beauty behind the madness,in the lonely hour,nine track mind,chaos and the calm,blurry face,lemonade,anti,purpose,made in the am,a head full of dreams,beauty behind the madness,in the lonely hour,chaos and the calm,blurry face,lemonade,nine track mind,anti,purpose,made in the am,a head full of dreams,1,1,2,1,0,0,0
LS242,1,18,2 Male,4/19/2017,Using,1,Blurry face,6,5,views,legend,if i can dream,the very best of prince,best of bowie,blurry face,beauty behind the madness,a head full of dreams,25,in the lonely hour,views,legend,if i can dream,the very best of prince,blurry face,best of bowie,beauty behind the madness,a head full of dreams,25,in the lonely hour,1,-1,2,1,0,-2,0
LS243,1,18,2 Male,4/19/2017,Using,1,The very best of prince,5,5,chaos and the calm,x,25,if i can dream,the very best of prince,lemonade,in the lonely hour,best of bowie,a head full of dreams,i like it when you sleep for you are so,chaos and the calm,x,25,if i can dream,the very best of prince,lemonade,in the lonely hour,best of bowie,a head full of dreams,i like it when you sleep for you are so,-1,-1,2,1,0,0,0
LS244,1,18,1 Female,4/20/2017,Using,1,The very best of prince,5,5,best of bowie,anti,x,chaos and the calm,the very best of prince,1989,blackstar,beauty behind the madness,lemonade,views,best of bowie,anti,x,chaos and the calm,the very best of prince,1989,blackstar,lemonade,beauty behind the madness,views,-1,-1,2,1,0,0,0
LS245,1,18,1 Female,4/20/2017,Using,1,Chaos and the calm,6,2,lemonade,blackstar,i like it when you sleep for you are so,a moon shaped pool,this is acting,chaos and the calm,legend,if i can dream,blurry face,the very best of prince,lemonade,chaos and the calm,blackstar,legend,the very best of prince,i like it when you sleep for you are so,a moon shaped pool,this is acting,if i can dream,blurry face,1,-6,2,1,0,-7,0
LS246,1,19,1 Female,4/20/2017,Using,1,A head full of dreams,6,6,25,lemonade,anti,views,blurry face,a head full of dreams,beauty behind the madness,x,this is acting,delirium,anti,views,lemonade,25,blurry face,a head full of dreams,beauty behind the madness,this is acting,x,delirium,1,1,2,1,0,0,0
LS247,1, , ,4/20/2017,Using,1,A head full of dreams,5,2,blurry face,views,25,purpose,a head full of dreams,this is acting,if i can dream,chaos and the calm,in the lonely hour,made in the am,blurry face,a head full of dreams,25,views,purpose,this is acting,if i can dream,chaos and the calm,in the lonely hour,made in the am,-1,-4,2,1,0,-3,0
LS248,1,20,2 Male,4/20/2017,Using,1,The very best of prince,5,5,beauty behind the madness,best of bowie,a head full of dreams,x,the very best of prince,blurry face,25,delirium,purpose,in the lonely hour,beauty behind the madness,best of bowie,a head full of dreams,x,the very best of prince,blurry face,25,delirium,purpose,in the lonely hour,-1,-1,2,1,0,0,0
LS249,1,19,1 Female,4/20/2017,Using,1,Legend,6,6,chaos and the calm,i like it when you sleep for you are so,if i can dream,the very best of prince,this is acting,legend,best of bowie,in the lonely hour,delirium,a head full of dreams,chaos and the calm,i like it when you sleep for you are so,if i can dream,the very best of prince,this is acting,legend,best of bowie,in the lonely hour,delirium,a head full of dreams,1,1,2,1,0,0,0
LS25,1,18,1 Female,11/29/2016,Using,1,Legend,6,4,Nothing has changed,Blackstar,Lemonade,The very best of prince,If I can dream,Legend,Head full of dreams,Nine track mind,Anti,Delirium,Nothing has changed,Blackstar,Lemonade,Legend,The very best of prince,If I can dream,Delirium,Nine track mind,Anti,A head full of dreams,1,-2,1,1,0,-3,1
LS250,1,18,2 Male,4/21/2017,Using,1,0,0,0,views,1989,communion,anti,x,purpose,legend,blurry face,beauty behind the madness,nice track mind,views,1989,beauty behind the madness,blurry face,legend,anti,communion,purpose,x,nine track mind,0, ,2,1,1, ,0
LS251,1,19,2 Male,4/21/2017,Examining,1,0,0,0,the very best of,best of bowie,25,blackstar,x,legend,head full of dreams,if i can dream,blurry face,a moon shaped pool,the very best of,best of bowie,blackstar,legend,25,x,if i can dream,head full of dreams,blurry face,a moon shaped pool,0, ,2,0,1, ,0
LS252,1,19,2 Male,4/21/2017,Examining,1,Nine track mind,5,4,views,beauty behind the madness,if i can dream,x,nine track mind,legend,25,the very best of prince,lemonade,chaos and the calm,views,beauty behind the madness,x,nine track mind,25,the very best of prince,if i can dream,chaos and the calm,lemonade,legend,-1,-6,2,0,0,-5,0
