subjectID_all,subjectID_cond,condition,charityChoice,freqDonation,familiar_Water,male,female,age
308,155,0,0,3,1,0,1,20
309,154,1,1,4,1,1,0,22
310,156,0,1,5,5,0,1,21
311,157,0,1,2,1,1,0,20
312,158,0,1,2,1,1,0,20
313,155,1,0,2,1,0,1,20
314,156,1,1,1,1,0,1,21
315,157,1,1,2,1,1,0,21
316,159,0,1,1,1,1,0,22
317,160,0,1,2,1,1,0,21
318,161,0,0,4,1,1,0,21
319,158,1,1,1,1,1,0,21
320,159,1,1,4,1,0,1,20
321,160,1,1,6,5,0,1,21
322,162,0,1,6,1,1,0,22
323,163,0,0,2,1,1,0,18
324,161,1,0,4,1,0,1,21
325,164,0,0,3,1,0,1,21
326,165,0,0,2,1,0,1,20
327,162,1,1,4,1,1,0,18
328,163,1,0,1,1,1,0,20
329,164,1,0,1,1,0,1,21
330,166,0,0,1,1,0,1,19
331,165,1,1,4,5,1,0,22
332,166,1,0,4,1,1,0,18
333,167,0,1,4,1,0,1,21
334,168,0,1,2,1,0,1,21
335,169,0,0,2,1,1,0,19
336,170,0,1,2,1,0,1,19
337,167,1,0,2,1,1,0,21
338,168,1,1,4,1,1,0,19
339,171,0,1,2,1,0,1,21
340,169,1,1,2,4,0,1,20
341,172,0,1,2,1,0,1,20
342,170,1,1,1,1,1,0,20
343,173,0,0,5,1,0,1,22
344,171,1,1,2,1,0,1,22
345,172,1,0,5,1,0,1,24
346,174,0,1,4,1,0,1,22
347,173,1,0,2,1,0,1,19
348,175,0,0,2,1,0,1,21
349,174,1,1,4,1,1,0,18
350,176,0,0,2,1,1,0,22
351,177,0,0,2,1,1,0,20
352,178,0,1,3,1,0,1,21
353,175,1,0,1,1,1,0,20
354,176,1,1,1,1,0,1,19
355,177,1,0,2,1,0,1,22
356,179,0,0,1,1,0,1,21
357,178,1,0,4,1,1,0,19
358,180,0,1,3,1,0,1,20
359,179,1,1,3,1,0,1,19
360,180,1,1,4,1,1,0,19
361,181,1,0,2,1,0,1,19
362,181,0,1,2,1,1,0,20
363,182,1,1,2,1,0,1,19
364,182,0,1,2,1,1,0,18
365,183,0,0,1,4,1,0,22
366,183,1,1,2,1,0,1,20
367,184,1,1,1,1,0,1,21
368,184,0,1,2,1,0,1,21
369,185,0,0,4,1,0,1,22
370,186,0,0,4,1,0,1,18
371,185,1,1,2,1,1,0,25
372,186,1,1,2,1,0,1,20
373,187,0,1,1,1,0,1,23
374,188,0,0,3,1,0,1,19
375,189,0,1,2,1,0,1,19
376,187,1,1,2,1,1,0,19
377,190,0,1,4,1,0,1,21
378,188,1,1,2,1,0,1,21
379,191,0,0,2,1,1,0,20
380,189,1,1,1,1,0,1,22
381,190,1,1,3,2,0,1,19
382,191,1,1,1,1,0,1,19
383,192,0,1,3,1,0,1,21
384,193,0,0,3,5,0,1,21
385,192,1,1,3,1,0,1,22
386,193,1,1,4,1,1,0,20
387,194,0,0,1,1,0,1,21
388,195,0,1,2,1,0,1,21
389,196,0,0,1,1,1,0,20
390,197,0,0,4,1,0,1,21
391,198,0,0,2,1,0,1,21
392,194,1,1,2,1,1,0,19
393,195,1,1,2,1,1,0,19
394,199,0,1,1,3,0,1,18
395,200,0,1,2,1,0,1,18
396,196,1,1,4,1,1,0,21
397,197,1,1,4,1,0,1,21
398,198,1,1,1,1,0,1,19
399,201,0,1,2,1,0,1,21
400,202,0,1,3,4,0,1,20
401,203,0,0,3,4,0,1,21
402,199,1,0,3,1,1,0,20
403,200,1,0,3,1,1,0,21
404,201,1,0,4,1,0,1,20
405,202,1,1,1,1,0,1,21
406,204,0,1,4,1,0,1,20
407,205,0,1,3,1,1,0,23
