game,round,scoreA,scoreB,percentA,showScore,n_par,gini_all,gmd_all,cumulativePayoff_all,behavior_all,degree_all,trans_all
2,5,1150,200,0.3,false,13,0.0912684965548402,478.10650887574,2619.23076923077,1,5.53846153846154,0.4595959596
2,6,1150,200,0.3,false,13,0.0758974358974359,481.656804733728,3173.07692307692,1,5.61538461538461,0.4679098679
2,7,1150,200,0.3,false,13,0.0640101402202329,478.10650887574,3734.61538461538,1,5.69230769230769,0.476320901323077
2,8,1150,200,0.3,false,13,0.0548566714786554,472.189349112426,4303.84615384615,1,5.69230769230769,0.481351981353846
2,9,1150,200,0.3,false,13,0.0478416611013296,466.272189349112,4873.07692307692,1,5.76923076923077,0.48426573425
2,10,1150,200,0.3,false,13,0.0443618881118881,480.473372781065,5415.38461538462,0.923076923076923,5.15384615384615,0.455128205126923
3,0,1150,200,0.3,false,16,0.400280898876405,445.3125,556.25,NA,1.8125,0.11666666666875
3,1,1150,200,0.3,false,15,0.341414141414141,450.666666666667,660,1,4.06666666666667,0.270521885521885
3,2,1150,200,0.3,false,15,0.238396624472574,502.222222222222,1053.33333333333,1,4.86666666666667,0.331734006734007
3,3,1150,200,0.3,false,15,0.178932178932179,551.111111111111,1540,1,5.6,0.39534188034188
3,4,1150,200,0.3,false,15,0.157894736842105,640,2026.66666666667,0.866666666666667,5.6,0.414489954489954
3,5,1150,200,0.3,false,15,0.133333333333333,683.555555555556,2563.33333333333,0.933333333333333,5.8,0.44004662004662
3,6,1150,200,0.3,false,15,0.126594982078853,784.888888888889,3100,0.933333333333333,6.26666666666667,0.455017205017205
3,7,1150,200,0.3,false,15,0.104598737601443,773.333333333333,3696.66666666667,0.933333333333333,6.2,0.467665667665668
3,8,1150,200,0.3,false,15,0.0900258397932817,774.222222222222,4300,0.933333333333333,6.26666666666667,0.48021978021978
3,9,1150,200,0.3,false,15,0.0785165083672546,771.555555555556,4913.33333333333,0.933333333333333,6.26666666666667,0.48021978021978
3,10,1150,200,0.3,false,15,0.0799509503372164,869.333333333333,5436.66666666667,0.8,5.8,0.444017834017834
