game,round,scoreA,scoreB,percentA,showScore,superid,behavior,e_behavior,initial_score,cumulativePayoff,e_cumulativePayoff,e_degree,local_avg_wealth,local_rate_coop,local_cluster
1,7,1150,200,0.3,true,113,1,1,200,2900,2450,11,3104.5454545455,0.9090909091,0.7818181818
1,7,1150,200,0.3,true,114,1,0,200,2950,2650,6,3016.6666666667,1,0.8611111111
1,7,1150,200,0.3,true,115,1,1,200,3000,2650,9,3205.5555555556,0.8888888889,0.8055555556
1,8,1150,200,0.3,true,101,1,1,1150,4250,3700,11,3369.2307692308,1,0.7435897436
1,8,1150,200,0.3,true,102,1,1,200,3600,3050,11,3477.2727272727,1,0.8727272727
1,8,1150,200,0.3,true,103,1,1,1150,3600,3100,10,3581.8181818182,1,0.8363636364
1,8,1150,200,0.3,true,104,1,1,1150,3900,3400,10,3554.5454545455,1,0.8727272727
1,8,1150,200,0.3,true,105,1,1,200,2750,2250,10,3681.8181818182,1,0.8545454545
1,8,1150,200,0.3,true,106,1,0,200,1600,1600,0,4100,1,1
1,8,1150,200,0.3,true,107,1,1,1150,4550,4000,13,3411.5384615385,0.9230769231,0.7179487179
1,8,1150,200,0.3,true,108,0,0,200,2450,2250,2,4550,1,NA
1,8,1150,200,0.3,true,109,1,0,1150,4600,4200,8,3350,1,0.7555555556
1,8,1150,200,0.3,true,110,1,1,200,3150,2750,10,3633.3333333333,1,0.9444444444
1,8,1150,200,0.3,true,111,1,1,200,3200,2700,10,3590,1,0.8666666667
1,8,1150,200,0.3,true,112,1,1,200,2550,2150,8,3766.6666666667,1,0.8888888889
1,8,1150,200,0.3,true,113,1,1,200,3450,2900,11,3416.6666666667,1,0.7272727273
1,8,1150,200,0.3,true,114,1,1,200,3400,2950,9,3681.8181818182,1,0.8727272727
1,8,1150,200,0.3,true,115,1,1,200,3450,3000,9,3711.1111111111,1,0.8888888889
1,9,1150,200,0.3,true,101,1,1,1150,4600,4250,13,3857.6923076923,0.7692307692,0.7179487179
1,9,1150,200,0.3,true,102,1,1,200,4050,3600,11,3886.3636363636,0.9090909091,0.8545454545
1,9,1150,200,0.3,true,103,1,1,1150,3950,3600,11,4045.4545454546,0.8181818182,0.8181818182
1,9,1150,200,0.3,true,104,1,1,1150,4250,3900,11,4013.6363636364,0.8181818182,0.8545454545
1,9,1150,200,0.3,true,105,1,1,200,3100,2750,11,4215,0.9,0.8888888889
1,9,1150,200,0.3,true,106,0,1,200,1800,1600,3,4575,0.5,1
1,9,1150,200,0.3,true,107,1,1,1150,4900,4550,13,3834.6153846154,0.7692307692,0.7179487179
1,9,1150,200,0.3,true,108,0,0,200,2550,2450,1,4750,1,1
1,9,1150,200,0.3,true,109,0,1,1150,5400,4600,10,3735,0.8,0.7111111111
1,9,1150,200,0.3,true,110,1,1,200,3600,3150,9,4005.5555555556,1,0.9444444444
1,9,1150,200,0.3,true,111,1,1,200,3600,3200,10,4010,0.9,0.8666666667
1,9,1150,200,0.3,true,112,0,1,200,3350,2550,9,4312.5,0.875,0.8928571429
1,9,1150,200,0.3,true,113,1,1,200,3750,3450,12,3858.3333333333,0.75,0.696969697
1,9,1150,200,0.3,true,114,1,1,200,3850,3400,11,4090.9090909091,0.9090909091,0.8727272727
1,9,1150,200,0.3,true,115,1,1,200,3800,3450,9,4133.3333333333,0.8888888889,0.8888888889
1,10,1150,200,0.3,true,101,0,1,1150,5800,4600,13,4333.3333333333,0.9166666667,0.8636363636
1,10,1150,200,0.3,true,102,1,1,200,4400,4050,11,4195.8333333333,0.8333333333,0.7727272727
1,10,1150,200,0.3,true,103,1,1,1150,4300,3950,11,4495.4545454546,0.8181818182,0.8545454545
1,10,1150,200,0.3,true,104,1,1,1150,4600,4250,11,4288.4615384615,0.8461538462,0.7692307692
1,10,1150,200,0.3,true,105,1,1,200,3400,3100,10,4685,0.8,0.9111111111
1,10,1150,200,0.3,true,106,0,0,200,2000,1800,2,4825,1,1
1,10,1150,200,0.3,true,107,1,1,1150,5350,4900,13,4230.7692307692,0.8461538462,0.7692307692
1,10,1150,200,0.3,true,108,1,0,200,2550,2550,2,4550,1,1
1,10,1150,200,0.3,true,109,1,0,1150,5600,5400,10,4177.2727272727,0.7272727273,0.7454545455
1,10,1150,200,0.3,true,110,1,1,200,3850,3600,9,4320,0.8,0.8222222222
1,10,1150,200,0.3,true,111,1,1,200,3900,3600,10,4590.9090909091,0.8181818182,0.8727272727
1,10,1150,200,0.3,true,112,1,0,200,3650,3350,8,4750,0.875,0.9285714286
1,10,1150,200,0.3,true,113,1,1,200,4050,3750,12,4287.5,0.75,0.7272727273
1,10,1150,200,0.3,true,114,0,1,200,4850,3850,11,4481.8181818182,0.9090909091,0.9090909091
1,10,1150,200,0.3,true,115,1,1,200,4050,3800,9,4625,0.8,0.9333333333
2,0,1150,200,0.3,false,203,NA,NA,200,200,NA,NA,556.25,NA,0.3214285714
2,0,1150,200,0.3,false,207,NA,NA,1150,1150,NA,NA,516.6666666667,NA,0.6666666667
2,0,1150,200,0.3,false,204,NA,NA,200,200,NA,NA,200,NA,0.3333333333
2,0,1150,200,0.3,false,206,NA,NA,200,200,NA,NA,607.1428571429,NA,0.380952381
2,0,1150,200,0.3,false,212,NA,NA,200,200,NA,NA,437.5,NA,0.5
2,0,1150,200,0.3,false,213,NA,NA,1150,1150,NA,NA,516.6666666667,NA,0.4
2,0,1150,200,0.3,false,205,NA,NA,200,200,NA,NA,437.5,NA,0.1666666667
2,0,1150,200,0.3,false,210,NA,NA,1150,1150,NA,NA,437.5,NA,0.2857142857
2,0,1150,200,0.3,false,215,NA,NA,200,200,NA,NA,675,NA,0.5
2,0,1150,200,0.3,false,201,NA,NA,1150,1150,NA,NA,516.6666666667,NA,0.2
2,0,1150,200,0.3,false,202,NA,NA,200,200,NA,NA,607.1428571429,NA,0.1428571429
2,0,1150,200,0.3,false,208,NA,NA,1150,1150,NA,NA,516.6666666667,NA,0.6666666667
2,0,1150,200,0.3,false,214,NA,NA,200,200,NA,NA,580,NA,0.6
2,0,1150,200,0.3,false,211,NA,NA,200,200,NA,NA,833.3333333333,NA,0.6666666667
2,0,1150,200,0.3,false,209,NA,NA,200,200,NA,NA,437.5,NA,0.3333333333
2,1,1150,200,0.3,false,201,1,NA,1150,1450,200,8,772.2222222222,1,0.5555555556
2,1,1150,200,0.3,false,202,1,NA,200,550,1150,3,762.5,1,0.5303030303
