game,round,scoreA,scoreB,percentA,showScore,superid,behavior,e_behavior,initial_score,cumulativePayoff,e_cumulativePayoff,e_degree,local_avg_wealth,local_rate_coop
6,2,500,500,0.5,false,614,1,1,500,900,650,5,625,1
6,2,500,500,0.5,false,615,1,1,500,850,650,4,630,1
6,2,500,500,0.5,false,616,1,0,500,900,800,4,720,0.75
6,2,500,500,0.5,false,618,0,0,500,800,600,4,710,0.5
6,2,500,500,0.5,false,619,1,1,500,1000,650,9,640,0.777777777777778
7,2,700,300,0.5,true,700,1,0,300,550,600,5,808.333333333333,0.4
7,2,700,300,0.5,true,701,0,0,700,2000,1300,10,722.727272727273,0.6
7,2,700,300,0.5,true,702,1,1,300,350,250,8,738.888888888889,0.625
7,2,700,300,0.5,true,703,1,1,700,1200,900,8,727.777777777778,0.875
7,2,700,300,0.5,true,704,1,0,700,1050,1100,7,856.25,0.428571428571429
7,2,700,300,0.5,true,705,0,0,300,1900,1000,11,704.166666666667,0.636363636363636
7,2,700,300,0.5,true,706,0,0,700,1700,1100,9,770,0.555555555555556
7,2,700,300,0.5,true,707,1,0,700,1200,1000,4,860,0.25
7,2,700,300,0.5,true,709,1,0,300,450,400,5,700,0.6
7,2,700,300,0.5,true,710,1,1,700,800,500,12,819.230769230769,0.583333333333333
7,2,700,300,0.5,true,711,1,1,700,800,650,5,725,0.8
7,2,700,300,0.5,true,712,1,1,700,1200,900,8,711.111111111111,0.75
7,2,700,300,0.5,true,713,0,1,300,350,50,7,856.25,0
7,2,700,300,0.5,true,714,1,0,300,650,600,7,712.5,0.714285714285714
7,2,700,300,0.5,true,715,1,1,700,950,800,13,807.142857142857,0.461538461538462
7,2,700,300,0.5,true,716,0,1,700,1050,550,8,850,0.375
7,2,700,300,0.5,true,717,1,0,700,1100,1200,8,838.888888888889,0.5
7,2,700,300,0.5,true,718,1,1,700,800,650,11,758.333333333333,0.454545454545455
7,2,700,300,0.5,true,719,0,0,700,1900,1200,8,683.333333333333,0.75
7,2,700,300,0.5,true,720,1,1,700,850,600,7,818.75,0.571428571428571
7,2,700,300,0.5,true,721,0,0,300,1200,800,6,707.142857142857,0.666666666666667
7,2,700,300,0.5,true,722,1,1,700,650,600,5,825,0.4
