"Study"	"Condition"	"Contribution"	"Female"	"Age"	"control40"	"control0"	"experience"	"collection_stage"	"n_sentences"
8	"Intuition Good"	0	1	37	"0"	"0"	1	1	9
8	"Intuition Good"	24	1	34	"40"	"0"	3	1	9
8	"Intuition Bad"	40	0	44	"40"	"0"	3	1	10
8	"Reflection Bad"	20	1	29	"40"	"0"	3	1	13
8	"Reflection Bad"	0	1	47	"40"	"0"	3	1	8
8	"Intuition Bad"	0	1	57	"40"	"0"	3	1	9
8	"Intuition Good"	40	1	31	"40"	"40"	2	1	13
8	"Intuition Good"	0	1	50	"40"	"0"	4	1	9
8	"Reflection Good"	0	1	29	"40"	"0"	4	1	9
8	"Intuition Bad"	40	0	37	"40"	"0"	1	1	12
8	"Intuition Bad"	10	1	35	"40"	"0"	2	1	8
8	"Reflection Bad"	40	0	44	"40"	"0"	4	1	9
8	"Reflection Bad"	16	0	42	"40"	"0"	4	1	9
8	"Intuition Bad"	40	0	30	"40"	"0"	1	1	11
8	"Reflection Bad"	10	1	25	"40"	"0"	3	1	8
8	"Intuition Good"	40	0	34	"40"	"0"	3	1	8
8	"Reflection Bad"	30	1	40	"40"	"0"	2	1	8
8	"Intuition Good"	40	1	24	"40"	"0"	2	1	10
8	"Intuition Bad"	40	0	33	"40"	"0"	5	1	8
8	"Intuition Good"	0	0	35	"40"	"0"	3	1	9
8	"Reflection Bad"	20	0	40	"40"	"0"	1	1	9
8	"Reflection Bad"	20	1	30	"40"	"0"	1	1	8
8	"Intuition Bad"	0	0	44	"40"	"0"	2	1	8
8	"Intuition Good"	20	1	27	"40"	"0"	1	1	9
8	"Reflection Bad"	0	0	42	"40"	"0"	3	1	10
8	"Reflection Bad"	0	0	34	"40"	"0"	3	1	10
8	"Intuition Good"	40	0	44	"40"	"0"	3	1	9
